CustomerID,Gender,Age,City,MembershipType,TotalSpend,ItemsPurchased,AverageRating,DiscountApplied,DaysSinceLastPurchase,SatisfactionLevel
108,Male,53,Deanland,,2491.891192,5,1.380456004,FALSE,234,Satisfied
109,Male,47,Morrisbury,,2902.647273,5,1.393428147,TRUE,234,Unsatisfied
110,Male,63,Thomasfort,Silver,1359.774374,5,4.393463731,FALSE,274,Unsatisfied
111,Female,65,Franciscoburgh,Silver,4740.054927,1,1.147358186,FALSE,185,Unsatisfied
112,Male,77,East Brandon,Gold,933.2260751,16,2.892895938,TRUE,23,Unsatisfied
113,Female,21,Beckyland,Bronze,3902.551141,13,1.075641012,TRUE,328,Satisfied
114,Female,45,West Lisabury,Gold,261.749878,17,2.81497188,FALSE,341,Neutral
115,Male,47,Port Francesland,Bronze,2065.74991,19,1.65295066,FALSE,20,Neutral
116,Female,35,Beltranberg,Silver,1621.572682,11,3.599896677,TRUE,351,Neutral
117,Female,18,North Lisa,Gold,1211.415124,17,1.85235598,TRUE,307,Unsatisfied
118,Male,48,Osbornberg,Silver,2282.924925,15,2.223764667,TRUE,283,Unsatisfied
119,Female,37,South Tammy,Silver,3489.292526,11,3.752473249,TRUE,185,Satisfied
120,Male,67,Andrewtown,Bronze,3290.833785,11,3.580804219,TRUE,66,Unsatisfied
121,Male,50,New Melissa,Bronze,4619.933109,7,3.519289262,FALSE,125,Satisfied
122,Male,79,Johnsonshire,Silver,2526.73137,15,3.394380519,TRUE,19,Unsatisfied
123,Female,59,East Douglasberg,Gold,1231.079985,18,1.952670408,FALSE,225,Satisfied
124,Female,48,West Kevin,Gold,2889.76392,12,2.67250218,TRUE,208,Satisfied
125,Female,57,Port Conniemouth,Bronze,4375.156795,12,1.408866566,TRUE,121,Unsatisfied
126,Female,63,East Kaylee,Silver,1541.851438,12,3.023578791,TRUE,106,Unsatisfied
127,Male,56,Thomasview,Bronze,3678.001431,11,2.191003398,FALSE,45,Satisfied
128,Female,29,Collinston,Bronze,3555.137546,16,4.446776638,FALSE,357,Satisfied
129,Female,51,East Harold,Gold,4107.285985,10,3.598917044,TRUE,207,Satisfied
130,Male,68,Lisastad,Silver,4703.817734,16,2.241940923,FALSE,328,Unsatisfied
131,Male,69,Millerfort,Gold,2706.920168,5,1.279421331,TRUE,329,Satisfied
132,Male,22,West Matthew,Bronze,50.35891023,8,4.482243037,TRUE,246,Satisfied
133,Male,72,West Daniel,Bronze,3622.739669,18,1.429383301,FALSE,198,Unsatisfied
134,Female,28,Brownstad,Bronze,2200.989491,5,1.049714478,TRUE,76,Satisfied
135,Male,62,New Frank,Bronze,2152.983572,3,4.280721299,TRUE,318,Neutral
136,Female,68,Elizabethburgh,Gold,4630.034567,14,4.306143177,TRUE,312,Unsatisfied
137,Female,31,West Ryan,Bronze,437.6281877,17,1.430634647,TRUE,178,Unsatisfied
138,Female,75,Mortonfort,Bronze,386.8840367,12,1.385680864,FALSE,69,Unsatisfied
139,Male,48,Melissaland,Silver,541.3970218,15,3.598521996,FALSE,271,Unsatisfied
140,Female,74,Williamchester,Gold,1352.62849,10,4.996299614,FALSE,94,Unsatisfied
141,Female,28,Port Sydneybury,Gold,445.0942526,5,4.868434025,FALSE,115,Neutral
142,Male,35,New Thomas,Silver,1775.07994,5,1.302826434,TRUE,68,Neutral
143,Male,45,Caldwellmouth,Bronze,603.0041966,18,2.12910832,FALSE,244,Unsatisfied
144,Male,20,Cookefort,Gold,656.351081,14,2.799090988,TRUE,191,Unsatisfied
145,Male,53,Davidville,Gold,2543.217247,5,1.523367811,TRUE,270,Unsatisfied
146,Male,27,East Brian,Bronze,4470.268623,16,4.048945712,FALSE,257,Satisfied
147,Female,43,North Victorville,Gold,1561.146759,2,1.001020711,TRUE,356,Unsatisfied
148,Male,33,East Robertburgh,Gold,4088.727766,15,2.782386635,TRUE,28,Unsatisfied
149,Female,79,Douglashaven,Silver,3565.284311,8,1.004946626,FALSE,257,Unsatisfied
150,Female,47,Dominguezborough,Silver,3788.581692,13,2.638324443,TRUE,20,Unsatisfied
151,Male,77,Johnfurt,Silver,2779.561592,6,4.268222396,TRUE,208,Satisfied
152,Female,62,Andrewtown,Silver,1751.432365,13,2.056457591,FALSE,194,Unsatisfied
153,Male,59,North Blake,Bronze,3332.014369,4,4.286505619,FALSE,102,Satisfied
154,Male,53,New Alicestad,Silver,4939.999993,3,4.908711441,FALSE,173,Unsatisfied
155,Female,77,West Tyler,Gold,4348.258116,8,3.547950709,FALSE,112,Unsatisfied
156,Male,25,Port Davidstad,Bronze,3194.755117,9,2.432335276,TRUE,315,Satisfied
157,Female,63,Maxwellchester,Silver,2337.054635,10,3.174183313,FALSE,69,Neutral
158,Male,63,Boothton,Bronze,3044.151683,6,1.022311454,FALSE,286,Neutral
159,Female,41,Benjaminville,Bronze,4972.814898,11,1.543060369,FALSE,120,Unsatisfied
160,Male,45,Adamtown,Silver,89.75356043,8,2.75820605,TRUE,317,Unsatisfied
161,Female,38,New Laurenland,Gold,828.6785153,11,3.948487435,FALSE,323,Satisfied
162,Male,29,New Amanda,Gold,672.8358106,3,2.621722782,FALSE,312,Satisfied
163,Female,79,North Robertville,Gold,1358.900011,13,4.381243092,FALSE,72,Unsatisfied
164,Male,68,Port Amy,Silver,2002.197632,13,4.519732404,FALSE,52,Unsatisfied
165,Female,53,Nathanland,Silver,531.6165698,11,1.493168972,FALSE,302,Neutral
166,Female,23,Shannonberg,Silver,1840.644317,10,1.532914047,TRUE,107,Unsatisfied
167,Female,51,Allenstad,Bronze,1338.175061,6,4.897942915,TRUE,253,Neutral
168,Male,32,North Ericberg,Bronze,1996.704155,5,3.723965243,FALSE,216,Satisfied
169,Male,45,Jeffreyside,Gold,2685.436423,1,1.634660233,TRUE,128,Unsatisfied
170,Female,22,North Gwendolyn,Silver,4642.371469,1,2.718952061,FALSE,162,Unsatisfied
171,Male,50,South Davidtown,Bronze,3528.757204,16,3.67813886,TRUE,19,Neutral
172,Female,74,West Rodneybury,Silver,3859.860266,5,2.657194523,FALSE,324,Unsatisfied
173,Male,58,Jenniferfurt,Gold,4643.92584,12,2.015688548,FALSE,64,Neutral
174,Female,44,Shawside,Gold,1478.188016,4,2.801180902,FALSE,90,Satisfied
175,Male,57,Lake Carlosbury,Bronze,2744.382135,8,2.127858699,FALSE,177,Satisfied
176,Male,21,Port Williamland,Bronze,1453.499903,13,2.03311227,TRUE,249,Satisfied
177,Female,75,Andrewhaven,Gold,3012.240734,15,3.861307362,TRUE,142,Satisfied
178,Male,76,New Lisachester,Silver,2251.073084,5,2.734342525,FALSE,100,Neutral
179,Male,24,New Garyshire,Gold,705.8384411,7,3.554660872,TRUE,268,Unsatisfied
180,Female,28,West Jimmymouth,Gold,4252.712559,5,3.39915732,TRUE,28,Satisfied
181,Female,28,Port Beth,Gold,2669.875841,4,2.204699452,FALSE,306,Satisfied
182,Male,24,East Allison,Bronze,4875.494392,2,3.544690211,FALSE,2,Satisfied
183,Female,60,North Ashleyview,Bronze,4481.679416,4,3.865978486,FALSE,154,Unsatisfied
184,Male,60,Shanefort,Gold,797.5496219,9,4.302184066,TRUE,5,Unsatisfied
185,Male,24,New Josefurt,Silver,135.0869505,14,2.548849567,FALSE,302,Satisfied
186,Female,40,East Gregoryview,Silver,4012.464747,3,2.670270206,TRUE,58,Unsatisfied
187,Female,29,South Connorchester,Bronze,2956.618989,6,3.565591645,FALSE,210,Unsatisfied
188,Male,46,Rushfurt,Silver,4197.233943,11,1.376576975,TRUE,64,Unsatisfied
189,Female,18,Coreyport,Silver,2988.8456,12,4.83916981,TRUE,169,Satisfied
190,Female,25,New Brianborough,Bronze,4689.259894,11,3.682067804,FALSE,356,Unsatisfied
191,Female,52,South Kathleen,Silver,3515.235734,19,2.38621158,FALSE,27,Satisfied
192,Female,32,East Jessica,Bronze,2485.97777,9,3.544745775,FALSE,254,Unsatisfied
193,Male,69,Lake Dillonstad,Bronze,4252.296747,19,1.389744101,TRUE,248,Neutral
194,Female,71,Lake Amanda,Silver,3421.503938,12,1.555141085,TRUE,135,Satisfied
195,Male,25,Lake Nicholas,Gold,4977.00777,19,1.249647402,TRUE,223,Neutral
196,Female,75,Zacharychester,Gold,3092.78068,1,4.786575947,FALSE,109,Unsatisfied
197,Male,68,Wattsmouth,Gold,647.5798791,6,3.542180362,TRUE,218,Unsatisfied
198,Female,66,Bethport,Gold,2632.373592,8,1.317427069,TRUE,213,Unsatisfied
199,Male,70,New Nicole,Gold,3743.407327,13,1.686360724,TRUE,186,Satisfied
200,Female,60,Deannamouth,Gold,2898.645775,18,2.297829638,FALSE,99,Satisfied
201,Female,26,Petersshire,Gold,3107.200328,4,1.193505928,FALSE,138,Satisfied
202,Male,73,Williamsonshire,Gold,3166.518422,18,4.473101492,TRUE,289,Unsatisfied
203,Male,30,Jordanton,Gold,3513.101382,11,3.634503794,TRUE,37,Unsatisfied
204,Female,28,Wallbury,Gold,869.0741624,11,3.467003769,TRUE,207,Satisfied
205,Female,43,Hannahport,Silver,3199.663218,14,3.09033751,FALSE,213,Unsatisfied
206,Male,54,South Chris,Silver,3590.386506,12,1.242192581,FALSE,185,Unsatisfied
207,Female,62,Vangchester,Bronze,3167.446326,4,1.817863627,FALSE,364,Satisfied
208,Female,74,Jesusbury,Gold,833.9977066,4,1.561034672,TRUE,311,Unsatisfied
209,Female,33,Brandonfort,Silver,4974.967101,17,4.729977528,TRUE,108,Neutral
210,Female,41,New Michael,Gold,3133.10062,8,3.977156701,FALSE,141,Unsatisfied
211,Female,49,Johnsonburgh,Gold,268.6937184,19,3.815273993,FALSE,9,Unsatisfied
212,Male,67,New Maureen,Gold,1706.793619,2,2.961929573,FALSE,50,Unsatisfied
213,Female,49,Jeffreybury,Bronze,2078.051827,9,3.425379565,TRUE,64,Unsatisfied
214,Female,65,Charlesbury,Gold,1534.386962,15,4.203459291,FALSE,113,Unsatisfied
215,Male,36,Port Christopher,Bronze,2692.370056,6,1.534600049,FALSE,278,Neutral
216,Female,34,East Michaelport,Gold,91.81392499,19,4.0156683,FALSE,282,Satisfied
217,Female,45,Lake Cynthiamouth,Gold,4601.420411,9,2.547932128,FALSE,361,Satisfied
218,Female,70,Millerfurt,Gold,1615.81995,11,2.859311879,TRUE,114,Neutral
219,Male,23,South Daniel,Gold,2768.303353,9,1.089964606,TRUE,180,Neutral
220,Female,71,East Lindaside,Gold,4948.808567,16,1.132258673,TRUE,249,Neutral
221,Female,23,North Patrick,Bronze,559.0657491,11,2.525131336,FALSE,100,Neutral
222,Female,35,Pennyburgh,Bronze,3985.809825,16,4.18007,TRUE,211,Unsatisfied
223,Female,71,Baileyfort,Silver,399.6280863,8,2.923689404,TRUE,352,Neutral
224,Female,42,West Travis,Silver,789.8624544,14,2.241908767,TRUE,238,Satisfied
225,Male,19,East Michael,Bronze,469.6241503,18,2.402396998,FALSE,83,Neutral
226,Female,28,East Zacharyton,Gold,2578.803078,6,3.397823754,TRUE,303,Neutral
227,Female,66,Moonmouth,Gold,2268.953419,17,4.376455654,FALSE,315,Unsatisfied
228,Female,60,Shepardborough,Bronze,4400.759931,11,1.472038825,FALSE,362,Unsatisfied
229,Male,39,New Jennifer,Gold,4191.1981,2,2.091580622,TRUE,343,Satisfied
230,Male,66,Gonzalesside,Gold,1782.142701,13,1.235874576,TRUE,303,Unsatisfied
231,Male,25,Odomtown,Gold,3826.545668,2,4.583794247,TRUE,305,Unsatisfied
232,Female,23,Barberton,Silver,2099.76241,12,1.401043456,FALSE,62,Neutral
233,Male,21,Port Nataliefort,Gold,416.0414584,9,3.221664791,TRUE,267,Neutral
234,Male,20,New Angela,Silver,4438.368205,12,3.492934447,FALSE,52,Neutral
235,Male,47,Port Madison,Gold,2275.731712,17,3.444400885,TRUE,62,Neutral
236,Female,29,New Brendahaven,Bronze,3442.764188,14,4.305454055,FALSE,152,Neutral
237,Male,33,East Danielle,Bronze,1850.624612,19,2.66448809,TRUE,213,Neutral
238,Male,58,New Cherylmouth,Bronze,536.0232495,14,1.200445005,TRUE,144,Neutral
239,Female,27,South Jennifer,Gold,915.8009216,19,2.826616014,FALSE,291,Neutral
240,Male,74,West Adammouth,Bronze,2730.057327,7,4.673508126,FALSE,162,Satisfied
241,Female,58,Doyleland,Gold,4187.162974,6,4.507354072,TRUE,183,Unsatisfied
242,Male,79,Waltermouth,Bronze,4975.429826,1,1.585497862,FALSE,250,Satisfied
243,Female,22,Jessicashire,Gold,1483.831702,5,1.10656415,TRUE,160,Unsatisfied
244,Female,72,Jasonfurt,Gold,1439.594174,8,2.175421961,TRUE,14,Satisfied
245,Female,72,East Robertbury,Silver,4531.637493,12,1.497453627,TRUE,226,Neutral
246,Female,48,Port Hectorport,Gold,4495.134598,2,4.791889299,FALSE,298,Satisfied
247,Female,58,Campbellland,Gold,728.0856429,16,3.250987771,TRUE,159,Satisfied
248,Female,28,East Michelleborough,Silver,1667.294554,9,1.950441975,TRUE,28,Unsatisfied
249,Male,54,Davisside,Bronze,3060.174594,2,3.814235267,TRUE,206,Neutral
250,Female,73,Garciamouth,Silver,1107.928409,1,1.246425314,TRUE,286,Satisfied
251,Female,29,Jeremiahshire,Bronze,1039.855264,2,2.418060358,TRUE,258,Satisfied
252,Female,59,Marieton,Bronze,1072.358379,9,2.433047194,FALSE,81,Neutral
253,Female,58,Port Jacquelineton,Bronze,4847.351263,7,3.491681657,FALSE,241,Neutral
254,Male,19,Wrighttown,Silver,3609.638916,19,3.39367907,FALSE,342,Unsatisfied
255,Female,55,South Stevenstad,Bronze,4033.626536,11,4.345844866,TRUE,126,Unsatisfied
256,Female,32,Jasminefurt,Bronze,3441.675,15,3.312062548,FALSE,319,Satisfied
257,Female,26,Sandersland,Gold,2197.201922,19,3.162175293,TRUE,294,Satisfied
258,Male,67,South Robert,Silver,2699.237561,14,3.646856262,TRUE,147,Unsatisfied
259,Male,44,New Kellyberg,Gold,4377.037146,18,2.578429445,FALSE,163,Neutral
260,Female,40,West Stephaniemouth,Bronze,2849.955393,13,1.695265587,TRUE,9,Unsatisfied
261,Male,21,Gregorystad,Gold,3617.745364,13,2.462620825,FALSE,16,Neutral
262,Female,36,New Shelbyshire,Bronze,4451.305065,11,2.703507573,TRUE,167,Neutral
263,Male,60,Brownberg,Bronze,3504.390383,6,2.656074745,FALSE,191,Unsatisfied
264,Male,60,West Bonnie,Gold,3548.189857,12,4.907806288,TRUE,215,Satisfied
265,Female,33,Dennisbury,Bronze,3332.208538,3,1.794494147,FALSE,41,Unsatisfied
266,Female,37,North Kathleen,Bronze,4961.227078,19,2.105139917,FALSE,301,Satisfied
267,Female,31,Michaelberg,Gold,112.8222225,16,4.582578431,TRUE,335,Unsatisfied
268,Male,47,Smithville,Gold,3168.228201,11,3.315120312,FALSE,13,Satisfied
269,Male,28,Richardtown,Gold,4444.424666,9,3.963831905,TRUE,41,Neutral
270,Male,77,East Michael,Bronze,1279.067786,2,3.990576692,FALSE,70,Satisfied
271,Male,72,Samanthaburgh,Gold,2757.856519,1,4.69304361,TRUE,118,Satisfied
272,Male,65,East Amy,Gold,4552.625081,11,4.268022298,TRUE,342,Neutral
273,Male,51,Lake Joseph,Gold,1903.709657,19,2.527383013,TRUE,353,Unsatisfied
274,Female,55,New Cindy,Gold,629.6269216,18,1.248597686,FALSE,30,Neutral
275,Male,41,East Eric,Silver,169.3674007,12,3.123888913,TRUE,133,Satisfied
276,Female,32,South Victor,Bronze,1754.105879,1,1.170548323,FALSE,47,Neutral
277,Male,32,Catherinetown,Bronze,2352.244341,14,4.796486171,TRUE,184,Satisfied
278,Female,77,New Tamara,Bronze,4324.205949,1,1.844347813,TRUE,201,Neutral
279,Male,55,Warrenbury,Bronze,444.7148213,1,2.794179981,TRUE,335,Neutral
280,Female,59,East Susanberg,Silver,3280.353691,3,2.629770531,FALSE,220,Satisfied
281,Male,78,Port Rogertown,Gold,2619.621377,15,2.425449441,TRUE,139,Unsatisfied
282,Female,56,Alexandrachester,Gold,1820.57005,13,2.193754662,FALSE,311,Satisfied
283,Male,77,Medinaland,Gold,2117.573366,16,3.553415745,TRUE,271,Neutral
284,Male,44,Blairchester,Gold,4780.798531,14,2.072890538,TRUE,355,Unsatisfied
285,Male,67,Melanieshire,Gold,308.8906712,11,1.203264595,FALSE,175,Neutral
286,Female,19,New Rachel,Silver,1078.174563,4,2.930341683,TRUE,30,Neutral
287,Female,66,North Jorgemouth,Gold,1605.37185,1,3.708019358,FALSE,122,Neutral
288,Female,56,Dianaburgh,Bronze,4354.90459,7,2.668132365,FALSE,283,Neutral
289,Male,73,North Lindamouth,Silver,2015.700993,13,2.186999412,FALSE,58,Satisfied
290,Male,77,Port Jennifer,Gold,1053.485081,6,3.745623957,TRUE,307,Unsatisfied
291,Female,42,East Jessica,Bronze,4992.456927,12,1.529910908,TRUE,214,Neutral
292,Female,44,Port Charles,Silver,4890.000511,19,4.158621894,FALSE,163,Unsatisfied
293,Male,67,New John,Bronze,1735.965569,5,4.365891373,TRUE,347,Unsatisfied
294,Male,24,New Michaelville,Silver,4953.385574,10,1.546184812,TRUE,238,Satisfied
295,Male,24,West Jacquelinechester,Silver,1015.336384,16,4.838188705,TRUE,326,Unsatisfied
296,Male,76,West Erinton,Silver,4870.479289,17,2.845838497,TRUE,11,Satisfied
297,Male,78,Hernandezmouth,Bronze,157.853667,9,4.064115693,TRUE,321,Neutral
298,Female,77,Rowefurt,Silver,634.4753292,7,4.111973004,TRUE,238,Satisfied
299,Male,62,Lake Eric,Gold,559.2184091,8,4.76805512,FALSE,188,Satisfied
300,Male,41,North Meganshire,Bronze,2959.619005,7,2.391919921,TRUE,318,Neutral
301,Male,42,Anthonyland,Silver,1262.334331,10,1.205923768,TRUE,36,Neutral
302,Female,74,Laurenhaven,Bronze,113.587431,3,3.65828318,TRUE,127,Neutral
303,Male,30,Port Tiffany,Bronze,1337.590478,4,1.050718997,FALSE,137,Unsatisfied
304,Female,46,Jennifermouth,Bronze,4457.120276,2,2.09197108,TRUE,126,Unsatisfied
305,Female,71,North Dorothychester,Silver,2550.675315,4,4.58498032,FALSE,327,Satisfied
306,Female,35,New Marcia,Bronze,4478.698208,5,1.421861575,TRUE,296,Unsatisfied
307,Male,72,Port Michael,Gold,3833.004103,4,4.453348657,FALSE,124,Neutral
308,Female,59,East Billy,Bronze,4941.376906,18,3.826314363,TRUE,121,Unsatisfied
309,Male,64,Lake Marilyn,Silver,4363.996667,5,2.134577996,FALSE,304,Neutral
310,Female,44,West Emily,Bronze,3149.35172,14,4.953795319,TRUE,9,Satisfied
311,Male,18,West Benjaminfort,Silver,4090.592507,12,1.6122533,FALSE,208,Unsatisfied
312,Female,62,Aguilarmouth,Silver,1205.349258,15,2.203485383,FALSE,186,Unsatisfied
313,Female,54,New Michelle,Bronze,1699.050309,10,1.384855492,FALSE,220,Unsatisfied
